Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-20,Swiped,2018,https://boxd.it/8xsNwn,1,,,2020-05-28
2025-01-20,Black Mirror: Bandersnatch,2018,https://boxd.it/8xsLJT,3,Yes,,2020-06-29
2025-01-20,The Founder,2016,https://boxd.it/8xsALz,3.5,Yes,,2020-09-25
2025-01-20,War Dogs,2016,https://boxd.it/8xsxwr,2.5,,,2020-11-03
2025-01-20,Underdogs,2013,https://boxd.it/8xsvNl,3,Yes,,2020-12-11
2025-01-20,300: Rise of an Empire,2014,https://boxd.it/8xss27,4,,,2021-02-05
2025-01-20,Nothing to Hide,2018,https://boxd.it/8xsqJD,1,,,2021-02-19
2025-01-20,The Bounty Hunter,2010,https://boxd.it/8xsnZD,1.5,,,2021-02-26
2025-01-20,Johnny English Strikes Again,2018,https://boxd.it/8xsk4J,1.5,Yes,,2021-03-16
2025-01-20,Road Trip,2000,https://boxd.it/8xsgDb,2.5,,,2021-06-04
2025-01-20,Sarajevo,2014,https://boxd.it/8xsfGD,3.5,,,2021-06-13
2025-01-20,Unbroken,2014,https://boxd.it/8xsdQL,3,,,2021-06-22
2025-01-20,Bad Seeds,2018,https://boxd.it/8xscFx,2.5,,,2021-06-23
2025-01-20,Blind Date,2015,https://boxd.it/8xsa3V,2,,,2021-07-12
2025-01-20,Always Be My Maybe,2019,https://boxd.it/8xs5AP,1,,,2021-08-17
2025-01-20,The Break-Up,2006,https://boxd.it/8xs0tp,3,,,2021-10-19
2025-01-20,Stuck Together,2021,https://boxd.it/8xs1TX,1.5,,,2021-10-28
2025-01-20,300,2006,https://boxd.it/8xrYtd,4,,,2021-10-30
2025-01-20,Lucy,2014,https://boxd.it/8xrXiD,2.5,,,2021-11-05
2025-01-20,El Potro: Unstoppable,2018,https://boxd.it/8xrWkX,3,,,2021-11-09
2025-01-20,Friends with Money,2006,https://boxd.it/8xrUiZ,1.5,,,2021-11-11
2025-01-20,Apollo 13,1995,https://boxd.it/8xrSUR,4,,,2021-11-14
2025-01-20,Dark Shadows,2012,https://boxd.it/8xrQIp,2,Yes,,2021-12-15
2025-01-20,Don't Look Up,2021,https://boxd.it/8xpDGr,2,,,2021-12-17
2025-01-20,The Butterfly Effect,2004,https://boxd.it/8xrPcR,3.5,,,2021-12-21
2025-01-20,School of Rock,2003,https://boxd.it/8xrKTh,3.5,Yes,,2022-01-10
2025-01-20,Yesterday,2019,https://boxd.it/8xrJRJ,3,,,2022-01-14
2025-01-20,50 First Dates,2004,https://boxd.it/8xrIG1,3,Yes,,2022-01-15
2025-01-20,Tall Girl,2019,https://boxd.it/8xrGM7,1,,,2022-01-20
2025-01-20,The Karate Kid,1984,https://boxd.it/8xrESH,3.5,Yes,,2022-01-24
2025-01-20,Quincy,2018,https://boxd.it/8xrDit,3,,,2022-01-31
2025-01-20,"Oh, Ramona!",2019,https://boxd.it/8xrCeF,0.5,Yes,,2022-02-15
2025-01-20,MILF,2018,https://boxd.it/8xrBb1,1.5,Yes,,2022-02-17
2025-01-20,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/8xrzPt,3,Yes,,2022-03-12
2025-01-20,The Adam Project,2022,https://boxd.it/8xrxSF,2,,,2022-03-17
2025-01-20,Seven Pounds,2008,https://boxd.it/8xrsOD,4,,,2022-03-27
2025-01-20,La Bamba,1987,https://boxd.it/8xrrSJ,3,Yes,,2022-04-02
2025-01-20,Freedom Writers,2007,https://boxd.it/8xrqvf,3.5,,,2022-04-07
2025-01-20,We're the Millers,2013,https://boxd.it/8xrptn,2.5,Yes,,2022-04-10
2025-01-20,I Called Him Morgan,2016,https://boxd.it/8xrmMr,3.5,,,2022-04-19
2025-01-20,Project X,2012,https://boxd.it/8xrkJ1,3,Yes,,2022-06-10
2025-01-20,The 40 Year Old Virgin,2005,https://boxd.it/8xrj21,2.5,Yes,,2022-06-18
2025-01-20,Along Came Polly,2004,https://boxd.it/8xrhAP,3.5,,,2022-06-19
2025-01-20,Hitch,2005,https://boxd.it/8xrgxZ,3,,,2022-06-23
2025-01-20,The Shawshank Redemption,1994,https://boxd.it/8xrecv,5,,,2022-07-25
2025-01-20,Accepted,2006,https://boxd.it/8xraKD,2.5,,,2022-11-12
2025-01-20,Just Go with It,2011,https://boxd.it/8xr8Et,2.5,Yes,,2022-12-03
2025-01-20,Operation Finale,2018,https://boxd.it/8xr6yt,4,,,2022-12-24
2025-01-20,The Dirt,2019,https://boxd.it/8xr4Ux,3,,,2023-01-28
2025-01-20,The Pursuit of Happyness,2006,https://boxd.it/8xr295,4,Yes,,2023-08-15
2025-01-20,Metal Lords,2022,https://boxd.it/8xr0yH,1.5,,,2023-09-25
2025-01-20,Miles Davis: Birth of the Cool,2019,https://boxd.it/8xqYJ9,4,Yes,,2023-10-11
2025-01-20,Tall Girl 2,2022,https://boxd.it/8xqXnr,1.5,,,2023-11-12
2025-01-20,Mr. Bean's Holiday,2007,https://boxd.it/8xqV6X,3,Yes,,2023-12-29
2025-01-20,Another Round,2020,https://boxd.it/8xqSkx,4,Yes,,2024-01-06
2025-01-20,The Social Network,2010,https://boxd.it/8xqR31,3.5,Yes,,2024-01-07
2025-01-20,Fight Club,1999,https://boxd.it/8xqOFL,2.5,,,2024-01-08
2025-01-20,Scarface,1983,https://boxd.it/8xpbSz,4.5,,,2024-01-10
2025-01-20,Society of the Snow,2023,https://boxd.it/8xqJCx,4,,,2024-01-27
2025-01-16,Good Will Hunting,1997,https://boxd.it/8uC2zR,5,Yes,,2024-02-21
