Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-01-16,Interstellar,2014,https://boxd.it/8uBXyp,3.5,,"Icónica y sorprendente, Interestelar vino para saciar la necesidad mainstream de ciencia ficción. Con una escenografía que deja boquiabiertos a todos que la ven, se causa un impacto inolvidable.
Sin dudas, una película que merece ser vista más de una vez.
A pesar de todo, siento que a la película le falta fuerza de trama, un componente emocionante, el cual solamente es revelado al final de ella, incluso dejando un final abierto.",,2024-12-16
2025-01-16,The Two Popes,2019,https://boxd.it/8uBYeP,3,,"La película parece una comedia hasta que se muestra a Bergoglio en la época de la dictadura. Sí, logra simpatizar en ciertas ocasiones con ambos papas, y su escenografía es impactante, pero, siento que hay algo más allá de lo básico que la película no cumple.",,2025-01-14
2025-01-16,Saving Private Ryan,1998,https://boxd.it/8uBZUx,5,,"El retrato más fiel de la Segunda Guerra Mundial que he visto en toda mi vida. Espeluznante y agobiante, al mismo tiempo que esperanzadora y franca, Spielberg lo da todo en mi filme preferido del género.",,
2025-01-16,Good Will Hunting,1997,https://boxd.it/8uC2zR,5,Yes,"Mi película favorita. Una trama hipnótica. Personajes imbatibles. La sensación del qué será y del dudoso presente son los fantasmas de esta película, que, indudablemente, hacen a cualquier persona más introspectiva y fuerte.",,2024-02-21
2025-01-16,The Whale,2022,https://boxd.it/8uC9q3,3,,"Una película que invita a la profunda introspección, y que sabe muy bien cómo expresar la desesperación de Charlie, el protagonista, que parece ser preso de su deprimente pasado.
Sin embargo, la falta de trama en mi opinión hace que sea muy engorrosa de ver, además de que se genera un hambre de búsqueda de piezas faltantes, que nunca es saciado.
Sobre todas las cosas, esta película tendrá malos sentimientos para mi, porque mientras la estaba viendo, dando vuelta el colchón de mi cama, rompí el más increíble monitor que tuve en mi vida.",,2025-01-13
2025-01-16,The Pianist,2002,https://boxd.it/8uCbF5,5,,"El inmortal Roberto Silva me había encomendado este infaltable retrato de la invasión polaca en cuarto año. Quedé inmediatamente enganchado con Szpilman y su intrincada historia de vida, llegando incluso al borde de las lágrimas en la escena que pide cortésmente un pedazo de pan. Un esencial en el género.",,
2025-01-19,Whiplash,2014,https://boxd.it/8wDlGd,4.5,,"No me acuerdo cuando la vi ni cuántas veces lo hice. Refleja de manera muy fiel la dualidad de cualquier artista de ganarse la vida y hacer lo que le apasiona, así como también la desesperación de querer ser siempre un poco mejor. Además de todo eso, introduce, aunque de manera superficial, al mundo del jazz a quienes no tienen ni idea de qué significa.",,
2025-01-20,Schindler's List,1993,https://boxd.it/8xoxjz,5,,"Otra película encomendada por el gran Roberto Silva. El retrato a lo ""Bildungsroman"" de Schindler y su crecimiento de conciencia hacen que uno se sienta verdaderamente en la piel del personaje, sintiendo todas las emociones posibles. Una patada al hígado, un pedazo de historia. Una película que merece ser vista por todo el mundo.",,
2025-01-20,Forrest Gump,1994,https://boxd.it/8xpmzt,4.5,Yes,"Una película que lo tiene todo. Tom Hanks hace que no sólo te encariñes con el personaje, sino con él también. Una aventura que incluye gran parte de la sociedad americana en los 50s, 60s, 70s, 80s e incluso 90s, con un componente emocional que nunca falla. La película esencial.",,2024-10-17
2025-01-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/8xpwmJ,3,Yes,"Una película a la que siento que le faltan partes. Se conecta emocionalmente en algunas ocasiones, aunque en algunas otras se desconecta, al no entender bien la línea de tiempo. Quizás hecha para ver más de una vez.",,2025-01-07
