Date,Name,Year,Letterboxd URI
2025-01-20,La Dolce Vita,1960,https://boxd.it/2anC
2025-01-20,Beautiful Boy,2018,https://boxd.it/g76Q
2025-01-22,The Passion of the Christ,2004,https://boxd.it/29ZK
2025-01-23,P.S. I Love You,2007,https://boxd.it/229C
2025-01-24,The Aviator,2004,https://boxd.it/26BU
2025-02-06,The Brutalist,2024,https://boxd.it/k4BO
2025-02-21,Argentina 1985,2022,https://boxd.it/qLxM
2025-03-01,Easy Rider,1969,https://boxd.it/29Ys
2025-03-01,Bonnie and Clyde,1967,https://boxd.it/2ajg
2025-03-01,Apocalypse Now,1979,https://boxd.it/6ZS
2025-03-01,Raging Bull,1980,https://boxd.it/28yI
2025-03-01,Heat,1995,https://boxd.it/2bg8
2025-03-01,The Lighthouse,2019,https://boxd.it/icFU
2025-03-01,Her,2013,https://boxd.it/4O24
2025-03-06,A Fistful of Dollars,1964,https://boxd.it/2auo
2025-03-06,For a Few Dollars More,1965,https://boxd.it/29eu
2025-03-06,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2025-03-15,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2025-03-16,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2025-03-20,12 Angry Men,1957,https://boxd.it/2auI
2025-03-20,La Haine,1995,https://boxd.it/2as8
2025-03-20,The King,2019,https://boxd.it/ieZs
2025-03-20,The Departed,2006,https://boxd.it/28MA
2025-03-20,Casino,1995,https://boxd.it/2ads
2025-03-20,A Complete Unknown,2024,https://boxd.it/oBYa
2025-03-21,The Insider,1999,https://boxd.it/1ZoE
2025-03-21,Gangs of New York,2002,https://boxd.it/25FG
2025-03-21,Lincoln,2012,https://boxd.it/2n2s
2025-03-24,The English Patient,1996,https://boxd.it/2arE
2025-03-26,Reservoir Dogs,1992,https://boxd.it/2agc
2025-03-26,Inception,2010,https://boxd.it/1skk
2025-03-26,Dunkirk,2017,https://boxd.it/d0Y6
2025-03-26,American History X,1998,https://boxd.it/2bdo
2025-03-26,Léon: The Professional,1994,https://boxd.it/2b8S
2025-03-26,Silence,2016,https://boxd.it/2cAo
2025-03-26,The Sixth Sense,1999,https://boxd.it/29Js
2025-03-27,American Sniper,2014,https://boxd.it/5LDy
2025-04-02,1917,2019,https://boxd.it/jj4y
2025-04-02,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2025-04-02,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2025-04-02,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2025-04-02,Cinema Paradiso,1988,https://boxd.it/1UlA
2025-04-02,Braveheart,1995,https://boxd.it/2aTI
2025-04-02,Amadeus,1984,https://boxd.it/2aH8
2025-04-02,L.A. Confidential,1997,https://boxd.it/27oC
